station,lat,lon,zone
Honor Oak Park,51.45064824,-0.044153121,3
Hornchurch,51.55435511,0.218926997,6
Hornsey,51.58647485,-0.111815638,3
Hounslow,51.46250482,-0.361796256,5
Hounslow Central,51.47092577,-0.365958129,4
Hounslow East,51.47370789,-0.355275322,4
Hounslow West,51.47310572,-0.385707629,5
Hoxton,51.53139161,-0.075585647,"1,2"
Hyde Park Corner,51.50258401,-0.152474114,1
Ickenham,51.56082505,-0.441579513,6
Ilford,51.55914224,0.068685191,4
Imperial Wharf,51.47493893,-0.182837505,2
Island Gardens,51.48795009,-0.010493303,2
Isleworth,51.47503742,-0.337328765,4
Kenley,51.32460031,-0.101219713,6
Kennington,51.48866246,-0.105070613,2
Kensal Green,51.53052421,-0.224713384,2
Kensal Rise,51.53421506,-0.220820979,2
Kensington Olympia,51.4978797,-0.210379242,2
Kent House,51.41271766,-0.045815553,4
Kentish Town,51.55000952,-0.140471264,2
Kentish Town West,51.54654797,-0.14675641,2
Kenton,51.58149628,-0.315216867,4
Kew Bridge,51.49000462,-0.288846495,3
Kew Gardens,51.47678914,-0.285381011,"3,4"
Kidbrooke,51.46269019,0.028300239,3
Kilburn,51.54694444,-0.204632719,2
Kilburn High Road,51.53726774,-0.191113106,2
Kilburn Park,51.53513554,-0.193966057,2
King George V,51.50200861,0.062206214,3
King Henry's Drive,51.3453641,-0.020264757,"3,4,5,6"
Kings Cross,51.53079819,-0.122756421,1
Kings Cross St Pancras,51.53031246,-0.12387213,1
Kingsbury,51.58487652,-0.278601608,4
Kingston,51.41264176,-0.30114104,6
Kingswood,51.29472314,-0.211233226,6
Knightsbridge,51.5013549,-0.160664486,1
Knockholt,51.34575194,0.130831039,6
Ladbroke Grove,51.51721067,-0.210198172,2
Ladywell,51.45619214,-0.019244401,3
Lambeth North,51.49912995,-0.111768261,1
Lancaster Gate,51.51189094,-0.175429929,1
Langdon Park,51.51888394,-0.015213799,2
Latimer Road,51.5139581,-0.217459666,2
Lebanon Road,51.375199,-0.084973649,"3,4,5,6"
Lee,51.44945852,0.013364692,3
Leicester Square,51.51129118,-0.128242148,1
Lewisham,51.46488071,-0.012432701,"2,3"
Leyton,51.55813227,-0.006465332,3
Leyton Midland Road,51.56936424,-0.008066347,3
Leytonstone,51.56852229,0.009140452,"3,4"
Leytonstone High Road,51.56380734,0.008254469,3
Limehouse,51.51231216,-0.039380078,2
Liverpool Street,51.51759826,-0.082249622,1
Lloyd Park,51.36427554,-0.080746273,"3,4,5,6"
London Bridge,51.50467435,-0.086005598,1
London City Airport,51.50368966,0.047872715,3
London Fields,51.54071884,-0.057699686,2
Loughborough Junction,51.4666789,-0.102497342,2
Loughton,51.64157048,0.055279079,6
Lower Sydenham,51.42484684,-0.033330342,4
Maida Vale,51.52999506,-0.185432647,2
Malden Manor,51.38460954,-0.261120416,4
Manor House,51.57074714,-0.095684976,"2,3"
Manor Park,51.55285435,0.04572387,"3,4"
Mansion House,51.51209175,-0.094197658,1
Marble Arch,51.51396549,-0.158571216,1
Maryland,51.54566827,0.005681654,3
Marylebone,51.52239667,-0.163492564,1
Maze Hill,51.48301366,0.003204897,3
Merton Park,51.41339161,-0.201342031,"3,4,5,6"
Mile End,51.52531097,-0.032666084,2
Mill Hill Broadway,51.61287113,-0.249537068,4
Mill Hill East,51.60831664,-0.209895713,4
Mitcham,51.39748861,-0.170871647,"3,4,5,6"
Mitcham Eastfields,51.40838391,-0.154001719,3
Mitcham Junction,51.39304257,-0.157436644,4
Monument,51.51063042,-0.086188314,1
Moor Park,51.62993067,-0.432913027,"6,7"
Moorgate,51.51843714,-0.089017688,1
Morden,51.40218596,-0.194851982,4
Morden Road,51.40887189,-0.192805677,"3,4,5,6"
Morden South,51.3963077,-0.200301562,4
Mornington Crescent,51.53436222,-0.13874435,2
Mortlake,51.46816794,-0.267203314,3
Motspur Park,51.39531963,-0.239439746,4
Mottingham,51.43982498,0.050324202,4
Mudchute,51.49123619,-0.014959945,2
Neasden,51.55462772,-0.250115045,3
New Addington,51.34259051,-0.017383327,"3,4,5,6"
New Barnet,51.64853677,-0.172969714,5
New Beckenham,51.41670555,-0.035304949,4
New Cross,51.47642942,-0.032278812,2
New Cross Gate,51.47526493,-0.039529052,2
New Eltham,51.43769066,0.070444618,4
New Malden,51.40355591,-0.256218106,4
New Southgate,51.61409367,-0.143009776,4
Newbury Park,51.57563836,0.090303158,4
Norbiton,51.41190935,-0.284199948,5
Norbury,51.4111885,-0.122799402,3
North Acton,51.52343243,-0.259729528,"2,3"
North Dulwich,51.45448181,-0.087918681,"2,3"
North Ealing,51.51762229,-0.288993553,3
North Greenwich,51.50025515,0.003586259,"2,3"
North Harrow,51.5846313,-0.362632993,5
North Sheen,51.46541961,-0.286397467,3
North Wembley,51.56239629,-0.303948219,4
Northfields,51.50049167,-0.315064819,3
Northolt,51.5482129,-0.368440596,5
Northolt Park,51.55761905,-0.359434196,5
Northwick Park,51.57850869,-0.318199392,4
Northwood,51.61121361,-0.423837787,6
Northwood Hills,51.60080265,-0.409311358,6
Norwood Junction,51.39695432,-0.075209857,4
Notting Hill Gate,51.50937534,-0.195921618,"1,2"
